IRI_Initial,TC,SPALL,PATCH,FAULT,AGE,FI,P200,IRI
1.34,12,0,0,17.5,25,222,33.5,1.62
2.02,0,9.09,1.100000024,26.4,21,430,3,2.109
2.02,0,9.09,1.100000024,26.4,21,430,3,2.077
2.02,0,9.09,1.100000024,26.4,21,430,3,2.083
2.93,2.94,26.47,7.900000006,115.6,19,1062,6.099999905,2.937
1.55,0,3.03,0,0,6,30,21.60000038,1.623
0.94,0,0,15.89999962,0,4,145,17.10000038,1.034
0.82,0,51.52,0,9.9,4,145,11.89999962,1.023
0.82,0,51.52,0,9.9,4,145,11.89999962,1.017
2.36,20,0,0,10,13,60,11.69999981,2.309
2.02,0,9.09,1.100000024,26.4,21,430,3,2.099
0.9,5.88,0,0,71.4,6,321,68.09999847,1.906
1.19,0,0,0,0,6,321,76.5,1.528
1.04,0,0,0,0,6,321,72.59999847,1.368
1.52,0,0,0,6.8,13,135,6.900000095,2.243
1.52,0,0,0,6.8,13,135,6.900000095,2.29
1.14,0,2.94,0,27.2,9,32,9,1.55
1.14,0,2.94,0,27.2,9,32,9,1.529
1.69,0,0,0,10.2,9,32,43,1.853
1.81,0,0,0,6.6,9,32,70.69999695,2.133
1.81,0,0,0,6.6,9,32,70.69999695,2.102
1.2,0,18.18,0,0,6,30,32,1.206
1.07,0,2.5,42.89999962,8,6,30,25.70000076,1.514
0.82,0,60.61,0,6.6,6,30,11.89999962,0.862
0.82,0,60.61,0,6.6,6,30,11.89999962,0.916
1.14,0,2.94,0,27.2,9,32,9,1.427
1.29,2.94,0,0,17,9,32,12,1.486
1.29,2.94,0,0,17,9,32,12,1.516
1.24,0,2.94,0.400000006,6.8,9,32,56.59999847,1.386
1.29,2.94,0,0,17,9,32,12,1.646
1.29,2.94,0,0,6.8,8,16,12,1.607
1.77,0,0,0,0,12,5,48.59999847,1.881
1.2,0,3.03,0,6.6,10,38,66.40000153,1.235
1.77,0,0,0,3.4,10,38,48.59999847,1.917
1.2,0,3.03,0,6.6,10,38,66.40000153,1.224
1.69,0,0,0,0,10,38,43,1.918
1.81,0,0,0,3.3,10,38,70.69999695,2.199
1.77,0,0,0,3.4,10,38,48.59999847,1.889
1.07,0,0,44,4,9,120,25.70000076,1.432
0.82,0,11.76,0,3.4,9,120,11.89999962,0.856
1.49,0,0,0,10.2,9,120,9.800000191,1.828
1.29,2.94,0,0,17,9,32,12,1.543
1.29,2.94,0,0,6.8,8,16,12,1.507
1.29,2.94,0,0,17,9,32,12,1.609
1.14,0,2.94,0,27.2,9,32,9,1.366
1.4,0,0,0,6.8,9,32,61.79999924,1.607
1.4,0,0,0,6.8,9,32,61.79999924,1.54
1.69,0,0,0,10.2,9,32,43,1.804
1.29,2.94,0,0,6.8,8,16,12,1.725
1.29,2.94,0,0,6.8,8,16,12,1.514
1.77,0,0,0,0,8,16,48.59999847,1.822
1.2,3.03,0,0,6.6,8,144,32,1.29
1.49,0,0,0,6.8,8,144,9.800000191,1.55
1.55,0,5.88,0,6.8,8,144,21.60000038,1.618
1.14,0,0,0,10.2,10,38,9,1.529
0.94,0,5.71,15.39999962,0,8,144,17.10000038,1.125
0.94,0,5.71,15.39999962,0,8,144,17.10000038,1.104
0.84,0,0,0,0,8,144,16.20000076,0.892
1.55,0,5.88,0,6.8,8,144,21.60000038,1.626
1.55,0,5.88,0,6.8,8,144,21.60000038,1.596
1.2,3.03,0,0,6.6,8,144,32,1.288
1.69,0,0,0,3.4,15,39,43,1.808
1.69,0,0,0,3.4,15,39,43,1.843
1.4,0,8.82,0,0,6,64,61.79999924,1.533
1.69,0,0,0,3.4,6,64,43,1.762
1.14,0,5.88,0,13.6,6,64,9,1.362
0.94,0,0,15.39999962,17.5,9,120,17.10000038,1.126
0.84,0,0,0,0,9,120,16.20000076,0.864
0.84,0,0,0,0,9,120,16.20000076,0.897
1.55,0,5.88,0,10.2,9,120,21.60000038,1.648
0.84,0,0,0,0,8,144,16.20000076,0.896
1.49,0,0,0,6.8,8,144,9.800000191,1.548
1.55,0,5.88,0,6.8,8,144,21.60000038,1.66
1.49,0,0,0,6.8,8,144,9.800000191,1.538
1.14,0,0,0,40.8,15,39,9,1.545
1.69,0,0,0,3.4,15,39,43,1.845
0.84,0,0,0,3.3,6,30,16.20000076,0.926
1.55,0,0,0,3.3,4,145,21.60000038,1.606
1.29,0,0,0,17,6,64,12,1.474
0.94,0,0,15.89999962,0,4,145,17.10000038,1.06
1.77,0,2.94,0,10.2,15,39,48.59999847,1.818
1.77,0,2.94,0,10.2,15,39,48.59999847,1.833
1.14,0,0,0,40.8,15,39,9,1.49
1.77,0,2.94,0,10.2,15,39,48.59999847,1.803
0.84,0,0,0,6.8,13,120,16.20000076,0.934
0.94,0,13.89,15.5,7.2,13,120,17.10000038,1.129
0.84,0,0,0,6.8,13,120,16.20000076,0.899
1.55,0,5.88,0,13.6,13,120,21.60000038,1.601
1.55,0,5.88,0,13.6,13,120,21.60000038,1.63
1.52,0,0,0,6.8,13,135,6.900000095,2.192
1.07,0,5,46.59999847,8,13,120,25.70000076,1.457
1.49,0,0,0,30.6,13,120,9.800000191,1.804
1.49,0,0,0,30.6,13,120,9.800000191,1.815
1.07,0,5,46.59999847,8,13,120,25.70000076,1.451
2.75,20,63.33,0,153,30,1012,33.40000153,3.633
3.19,0,74.19,2.099999905,0,21,1159,3.599999905,3.167
