ST,BT,AD,JS,AP,AT,FI,SC,EM,DE,TS,CT,AG,TL
210.82,160.02,4691,4618.181818,1173.6,16.4,24,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,8,3.21522316
210.82,160.02,4328,4618.181818,1565,16.6,31,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,9,3.21522316
210.82,160.02,5443,4618.181818,1425.8,17,20,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,12,3.215222964
210.82,160.02,5062,4618.181818,1696.1,16,24,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,13,7.349081553
210.82,160.02,5031,4618.181818,993.5,17.2,56,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,15,13.12335958
210.82,160.02,5135,4618.181818,1262.6,18.5,10,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,17,13.3202101
210.82,160.02,5170,4618.181818,1378.3,16,11,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,18,14.69816271
208.28,162.56,4589,4618.181818,1072.2,16.5,62,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,5,24.34383227
208.28,162.56,4644,4618.181818,1397.5,16.6,31,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,6,53.4776906
208.28,162.56,4331,4618.181818,1265.8,16.3,23,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,7,57.80839857
208.28,162.56,4691,4618.181818,1173.6,16.4,24,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,8,60.03937102
208.28,162.56,4328,4618.181818,1565,16.6,31,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,9,62.79527578
208.28,162.56,5443,4618.181818,1425.8,17,20,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,12,70.14435577
208.28,162.56,5062,4618.181818,1696.1,16,24,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,13,69.88189164
208.28,162.56,5031,4618.181818,993.5,17.2,56,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,15,73.29396313
208.28,162.56,5135,4618.181818,1262.6,18.5,10,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,17,75.7874022
208.28,162.56,5170,4618.181818,1378.3,16,11,67.56213629,27027.4592,2253.476934,5.937767312,8.48E-06,18,79.72440882
210.82,83.82,5062,4482.352941,1696.1,16,24,41.96150936,28548.82247,2267.252828,3.08195772,8.48E-06,13,4.26509202
210.82,83.82,5031,4482.352941,993.5,17.2,56,41.96150936,28548.82247,2267.252828,3.08195772,8.48E-06,15,4.265091864
210.82,83.82,5135,4482.352941,1262.6,18.5,10,41.96150936,28548.82247,2267.252828,3.08195772,8.48E-06,17,4.265091864
210.82,83.82,5170,4482.352941,1378.3,16,11,41.96150936,28548.82247,2267.252828,3.08195772,8.48E-06,18,4.265091864
259.08,152.4,1308,4621.212121,1078.9,16.6,27,38.39002368,26200.088,2257.802011,4.8608058,8.48E-06,24,0.163934426
259.08,152.4,742,4621.212121,1523,17.1,26,38.39002368,26200.088,2257.802011,4.8608058,8.48E-06,25,0.295081959
259.08,152.4,1210,4621.212121,942.7,17.5,10,38.39002368,26200.088,2257.802011,4.8608058,8.48E-06,26,0.524590172
259.08,152.4,1275,4621.212121,1208.3,17.5,16,38.39002368,26200.088,2257.802011,4.8608058,8.48E-06,27,0.885245917
259.08,152.4,1252,4621.212121,1345.7,17.5,12,38.39002368,26200.088,2257.802011,4.8608058,8.48E-06,28,0.229508193
259.08,152.4,1238,4621.212121,1596.8,16.4,18,38.39002368,26200.088,2257.802011,4.8608058,8.48E-06,29,0.524590172
254,152.4,1066,4552.238806,1418.7,16.4,38,29.93704792,28548.82247,2272.218527,4.52296256,0.00000825,18,0.131147543
254,152.4,1169,4552.238806,1034.3,16.8,62,29.93704792,28548.82247,2272.218527,4.52296256,0.00000825,21,0.459016386
254,152.4,2563,4552.238806,1395.2,16.9,26,29.93704792,28548.82247,2272.218527,4.52296256,0.00000825,22,0.229508193
254,152.4,742,4552.238806,1523,17.1,26,29.93704792,28548.82247,2272.218527,4.52296256,0.00000825,25,0.524590172
254,152.4,1210,4552.238806,942.7,17.5,10,29.93704792,28548.82247,2272.218527,4.52296256,0.00000825,26,0.918032752
254,152.4,1275,4552.238806,1208.3,17.5,16,29.93704792,28548.82247,2272.218527,4.52296256,0.00000825,27,1.278688478
254,152.4,1359,4552.238806,1102.1,18.2,9,29.93704792,28548.82247,2272.218527,4.52296256,0.00000825,33,0.163934426
210.82,83.82,5443,4482.352941,1425.8,17,20,41.96150936,28548.82247,2267.252828,3.08195772,8.48E-06,12,4.199475128
210.82,152.4,3850,4618.181818,365.2,17.1,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,0,2.362204662
210.82,152.4,3850,4618.181818,385.6,17.7,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,1,15.68241492
210.82,152.4,3850,4618.181818,247.3,17.2,0,28.785623,36094.0686,2346.70439,3.6886966,8.48E-06,2,23.16273041
