ST,BT,BL,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,LC
187.96,152.4,0,4691,4618.181818,1173.599976,16.39999962,24,42.59812553,30301.24321,2.268700155,3.601362973,3.601362973,0.00000915,8,104.5931737
187.96,152.4,0,4328,4618.181818,1565,16.60000038,31,42.59812553,30301.24321,2.268700155,3.601362973,3.601362973,0.00000915,9,104.5275611
187.96,152.4,0,5443,4618.181818,1425.800049,17,20,42.59812553,30301.24321,2.268700155,3.601362973,3.601362973,0.00000915,12,68.11023791
187.96,152.4,0,4644,4618.181818,1397.5,16.60000038,31,42.59812553,30301.24321,2.268700155,3.601362973,3.601362973,0.00000915,6,30.77427796
210.82,160.02,1,4589,4618.181818,1072.199951,16.5,62,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,5,32.93963242
210.82,160.02,1,4644,4618.181818,1397.5,16.60000038,31,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,6,41.60105087
210.82,160.02,1,4331,4618.181818,1265.800049,16.29999924,23,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,7,53.67454081
210.82,160.02,1,4691,4618.181818,1173.599976,16.39999962,24,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,8,72.76903112
210.82,160.02,1,4328,4618.181818,1565,16.60000038,31,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,9,80.44619573
210.82,160.02,1,5443,4618.181818,1425.800049,17,20,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,12,89.43569754
210.82,160.02,1,5062,4618.181818,1696.099976,16,24,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,13,98.29396526
210.82,160.02,1,5031,4618.181818,993.5,17.20000076,56,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,15,105.9711299
210.82,160.02,1,5135,4618.181818,1262.599976,18.5,10,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,17,110.5643057
210.82,160.02,1,5170,4618.181818,1378.300049,16,11,39.22084226,30878.67515,2.2508281,3.872556867,3.90243416,8.38E-06,18,120.6692936
208.28,162.56,1,4589,4618.181818,1072.199951,16.5,62,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,5,24.01574859
208.28,162.56,1,4644,4618.181818,1397.5,16.60000038,31,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,6,60.89238858
208.28,162.56,1,4331,4618.181818,1265.800049,16.29999924,23,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,7,71.52231221
208.28,162.56,1,4691,4618.181818,1173.599976,16.39999962,24,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,8,70.93176003
208.28,162.56,1,4328,4618.181818,1565,16.60000038,31,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,9,77.03411923
208.28,162.56,1,5443,4618.181818,1425.800049,17,20,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,12,81.82414498
208.28,162.56,1,5062,4618.181818,1696.099976,16,24,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,13,90.09186352
208.28,162.56,1,5031,4618.181818,993.5,17.20000076,56,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,15,97.11286042
208.28,162.56,1,5135,4618.181818,1262.599976,18.5,10,67.56213629,27027.4592,2.253482561,5.47443944,5.937767312,8.38E-06,17,99.73753383
