ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,TS,CT,AG,SP
210.82,279.4,5135,4618.181818,1262.599976,18.5,10,73.67223429,44667.75782,2.337360821,5.59854512,0.00000985,17,0.5
276.86,220.98,3477,4618.181818,1446.199951,16.39999962,70,77.43045303,41185.03298,2.336292858,3.59216996,8.40E-06,1,1.100000024
276.86,220.98,4589,4618.181818,1072.199951,16.5,62,77.43045303,41185.03298,2.336292858,3.59216996,8.40E-06,5,0.5
276.86,220.98,5062,4618.181818,1696.099976,16,24,77.43045303,41185.03298,2.336292858,3.59216996,8.40E-06,13,1
276.86,220.98,5031,4618.181818,993.5,17.20000076,56,77.43045303,41185.03298,2.336292858,3.59216996,8.40E-06,15,1
276.86,220.98,5135,4618.181818,1262.599976,18.5,10,77.43045303,41185.03298,2.336292858,3.59216996,8.40E-06,17,1
276.86,220.98,5170,4618.181818,1378.300049,16,11,77.43045303,41185.03298,2.336292858,3.59216996,8.40E-06,18,1.100000024
292.1,203.2,2,4618.181818,827.9000244,17.60000038,50,29.34065118,33094.68253,2.306658807,3.33878753,0.00000775,13,1.700000048
292.1,203.2,2,4618.181818,1277,18.60000038,4,29.34065118,33094.68253,2.306658807,3.33878753,0.00000775,15,1.899999976
248.92,162.56,1169,4354.285714,1034.300049,16.79999924,62,32.10889732,30294.14133,2.257802486,3.84038132,0.000008275,21,18.69999981
248.92,162.56,2563,4354.285714,1395.199951,16.89999962,26,32.10889732,30294.14133,2.257802486,3.84038132,0.000008275,22,29.49999964
248.92,162.56,1308,4354.285714,1078.900024,16.60000038,27,32.10889732,30294.14133,2.257802486,3.84038132,0.000008275,24,0.800000012
248.92,162.56,1210,4354.285714,942.7000122,17.5,10,32.10889732,30294.14133,2.257802486,3.84038132,0.000008275,26,0.5
248.92,162.56,1275,4354.285714,1208.300049,17.5,16,32.10889732,30294.14133,2.257802486,3.84038132,0.000008275,27,8.500000119
248.92,162.56,1238,4354.285714,1596.800049,16.39999962,18,32.10889732,30294.14133,2.257802486,3.84038132,0.000008275,29,0.899999976
259.08,152.4,1035,4621.212121,1265.400024,16.29999924,74,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,17,13.59999967
259.08,152.4,1066,4621.212121,1418.699951,16.39999962,38,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,18,9
259.08,152.4,1169,4621.212121,1034.300049,16.79999924,62,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,21,9.5
259.08,152.4,2563,4621.212121,1395.199951,16.89999962,26,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,22,34.8000015
259.08,152.4,1129,4621.212121,1351.099976,16.70000076,16,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,23,0.5
259.08,152.4,1308,4621.212121,1078.900024,16.60000038,27,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,24,2.799999952
259.08,152.4,742,4621.212121,1523,17.10000038,26,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,25,0.400000006
259.08,152.4,1210,4621.212121,942.7000122,17.5,10,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,26,4.400000095
259.08,152.4,1275,4621.212121,1208.300049,17.5,16,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,27,4.599999905
259.08,152.4,1252,4621.212121,1345.699951,17.5,12,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,28,0.800000012
259.08,152.4,1238,4621.212121,1596.800049,16.39999962,18,39.989608,26200.088,2.257802486,4.8608058,8.40E-06,29,1.600000024
254,152.4,1066,4552.238806,1418.699951,16.39999962,38,29.93704792,30294.14133,2.272219005,4.52296256,0.00000825,18,1.799999952
254,152.4,1169,4552.238806,1034.300049,16.79999924,62,29.93704792,30294.14133,2.272219005,4.52296256,0.00000825,21,9.600000262
254,152.4,2563,4552.238806,1395.199951,16.89999962,26,29.93704792,30294.14133,2.272219005,4.52296256,0.00000825,22,15.60000038
254,152.4,742,4552.238806,1523,17.10000038,26,29.93704792,30294.14133,2.272219005,4.52296256,0.00000825,25,1.299999952
