ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,PN,PL,FA
205.740,106.680,8472.000,4.618,212.800,22.700,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,7.00,0.00,0.00,0.20
205.740,106.680,4391.000,4.618,228.800,23.100,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,11.00,0.00,0.00,0.60
205.740,106.680,4574.000,4.618,229.900,23.200,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,15.00,0.00,0.00,0.80
205.740,106.680,4371.000,4.618,251.700,23.100,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,17.00,0.00,0.00,0.10
205.740,106.680,4417.000,4.618,102.800,23.700,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,19.00,0.00,0.00,0.40
205.740,106.680,4436.000,4.618,245.900,23.300,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,21.00,0.00,0.00,0.50
205.740,106.680,4698.000,4.618,190.600,23.300,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,22.00,0.00,0.00,0.10
205.740,106.680,6166.000,4.618,193.900,23.600,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,23.00,0.00,0.00,0.50
218.440,99.060,2746.000,4.482,183.100,22.800,0.000,1.012,637.924,2.342,0.144,0.086,8.36E-06,2.00,0.00,0.00,0.40
218.440,99.060,8472.000,4.482,212.800,22.700,0.000,1.012,637.924,2.342,0.144,0.086,8.36E-06,7.00,0.00,0.00,0.10
218.440,99.060,4391.000,4.482,228.800,23.100,0.000,1.012,637.924,2.342,0.144,0.086,8.36E-06,11.00,0.00,0.00,0.50
218.440,99.060,4574.000,4.482,229.900,23.200,0.000,1.012,637.924,2.342,0.144,0.086,8.36E-06,15.00,0.00,0.00,0.80
218.440,99.060,4371.000,4.482,251.700,23.100,0.000,1.012,637.924,2.342,0.144,0.086,8.36E-06,17.00,0.00,0.00,0.30
218.440,99.060,4436.000,4.482,245.900,23.300,0.000,1.012,637.924,2.342,0.144,0.086,8.36E-06,21.00,0.00,0.00,0.40
218.440,99.060,4698.000,4.482,190.600,23.300,0.000,1.012,637.924,2.342,0.144,0.086,8.36E-06,22.00,0.00,0.00,0.40
281.940,104.140,2746.000,4.482,183.100,22.800,0.000,0.762,689.582,2.304,0.114,0.069,8.36E-06,2.00,0.00,0.00,0.30
281.940,104.140,8472.000,4.482,212.800,22.700,0.000,0.762,689.582,2.304,0.114,0.069,8.36E-06,7.00,0.00,0.00,0.10
281.940,104.140,4391.000,4.482,228.800,23.100,0.000,0.762,689.582,2.304,0.114,0.069,8.36E-06,11.00,0.00,0.00,0.40
281.940,104.140,4574.000,4.482,229.900,23.200,0.000,0.762,689.582,2.304,0.114,0.069,8.36E-06,15.00,0.00,0.00,0.70
281.940,104.140,4436.000,4.482,245.900,23.300,0.000,0.762,689.582,2.304,0.114,0.069,8.36E-06,21.00,0.00,0.00,0.30
281.940,104.140,2746.000,4.482,183.100,22.800,0.000,1.017,718.929,2.294,0.123,0.091,8.36E-06,2.00,0.00,0.00,0.40
281.940,104.140,8472.000,4.482,212.800,22.700,0.000,1.017,718.929,2.294,0.123,0.091,8.36E-06,7.00,0.00,0.00,0.10
281.940,104.140,4391.000,4.482,228.800,23.100,0.000,1.017,718.929,2.294,0.123,0.091,8.36E-06,11.00,0.00,0.00,0.50
281.940,104.140,4371.000,4.482,251.700,23.100,0.000,1.017,718.929,2.294,0.123,0.091,8.36E-06,17.00,0.00,0.00,0.20
281.940,104.140,4417.000,4.482,102.800,23.700,0.000,1.017,718.929,2.294,0.123,0.091,8.36E-06,19.00,0.00,0.00,0.10
281.940,104.140,4436.000,4.482,245.900,23.300,0.000,1.017,718.929,2.294,0.123,0.091,8.36E-06,21.00,0.00,0.00,0.10
281.940,104.140,4698.000,4.482,190.600,23.300,0.000,1.017,718.929,2.294,0.123,0.091,8.36E-06,22.00,0.00,0.00,0.30
205.740,154.940,2746.000,4.119,183.100,22.800,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,2.00,0.00,0.00,1.60
205.740,154.940,7674.000,4.119,152.200,22.100,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,6.00,0.00,0.00,2.30
205.740,154.940,8472.000,4.119,212.800,22.700,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,7.00,0.00,0.00,2.60
205.740,154.940,9353.000,4.119,157.600,22.500,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,8.00,0.00,0.00,2.90
205.740,154.940,4391.000,4.119,228.800,23.100,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,11.00,0.00,0.00,4.50
205.740,154.940,4574.000,4.119,229.900,23.200,0.000,0.656,730.055,2.278,0.101,0.066,8.36E-06,15.00,0.00,0.00,5.60
